label	x	y
WA	104.148	551.045
OR	87.027	512.322
MT	188.1441	528.462
ID	145.7786	495.305
WY	198.1578	481.09
NV	109.26	454.9351
CA	77.013	420.7626
UT	155.5822	442.6106
CO	209.9921	432.3868
NM	199.0681	380.0427
AZ	144.3431	386.6252
KS	276.4464	421.4629
NE	264.1569	456.966
SD	262.7914	491.558
ND	261.8811	527.972
MN	310.5838	511.13
IA	321.963	463.794
MO	330.1558	418.2767
OK	283.729	384.5944
TX	245.9497	348.85999
MI	397.521	482
IN	387.507	441.035
IL	364.512	451.4063
WI	344.107	494.606
PA	462.82	461.763
OH	416.638	447.8625
KY	398.886	412.3595
AL	393.347	344.8401
MS	363.358	347.73429
AR	331.9768	375.9462
LA	323.8687	348.44787
FL	447.589	305.3955
GA	421.644	357.73963
SC	455.401	366.6905
NC	462.609	398.2494
VA	461.699	423.7387
WV	439.851	432.3868
NY	479.1	489.353
ME	521.431	528.953
NH	504.96	519.654
VT	492.163	513.943
CT	501.244	475.939
MA	503.494	491.179
RI	513.877	479.504
NJ	492.3	457.036
DE	487.433	440.93
MD	464.758	445.217
TN	386.596	386.135
Dist CO	472.551	437.971
