label	x	y
1	1567.84	-563.429
2	1647.25	-613.276
3	1631.43	-545.473
4	1540.78	-430.248
5	1860.1	-49.3273
6	1870.6	-268.009
7	1938.92	-168.979
8	1762.64	-157.777
9	1884.28	-250.138
10	713.243	972.992
11	898.32	1281.28
12	883.066	904.022
13	755.514	1138.66
14	957.227	1082.87
15	762.695	818.358
16	1199.75	390.769
17	1307.11	90.8958
18	1380.38	147.976
19	1341.77	309.756
20	1337.35	200.807
21	1400.38	308.324
22	1260.73	256.564
23	1358.69	325.096
24	487.188	-881.776
25	725.88	-1056.22
26	572.768	-1141.57
27	434.355	-1110.91
28	611.781	-990.557
29	626.166	-1080.32
30	1113.22	-1107.26
31	1235.26	-1064.86
32	952.247	-1048.92
33	1172.61	-1004.84
34	1070.1	-978.147
35	995.291	-1142.74
36	1864.89	-985.624
37	2053.3	-941.12
38	1930.48	-935.999
39	1957.17	-1040.32
40	2060.08	-986.737
41	1955.94	-561.325
42	2130.13	-581.588
43	1901.78	-521.768
44	2229.2	-419.686
45	1942.54	-398.37
46	2016.21	-511.256
47	2142.91	-424.932
48	2117.75	-515.821
49	2049.14	-390.65
50	1882	-489.344
51	2011.92	-587.21
52	2059.62	-614.861
53	989.39	-468.498
54	1194.74	-474.249
55	1054.09	-522.75
56	1130.87	-402.012
57	1075.81	-456.542
58	1131.03	-429.94
59	1436.49	-776.295
60	1289.91	-1008.7
61	1394.38	-969.938
62	1524.31	-886.438
63	1432.7	-914.095
64	1330.53	-854.857
65	1541.99	-768.061
66	1454.11	-1037.16
67	1433.4	-1011.31
68	1513.08	-1017.12
69	1587.46	-777.523
70	1689.37	-556.067
71	1750.48	-543.435
72	1834.28	-516.578
73	1662.35	-491.577
74	1844.45	-439.232
75	1730.06	-494.464
76	1781.4	-494.449
77	1776.98	-390.302
78	1708.93	-552.119
79	1782.49	-421.528
80	2006.92	-851.488
81	2210.27	-874.129
82	1915.83	-765.134
83	1981.13	-764.204
84	2321.2	-703.821
85	2142.28	-838.743
86	2240.31	-748.077
87	2305.81	-782.932
