region	gridX	gridY
250	10	21
242	12	22
349	13	22
236	11	22
235	10	22
233	9	22
96	9	23
244	12	23
103	10	23
234	11	23
271	8	23
136	12	24
134	11	24
100	10	24
102	9	24
252	9	21
98	8	24
101	8	25
132	9	25
133	10	25
265	8	21
93	7	25
99	6	25
94	8	22
261	11	20
246	10	20
262	9	20
263	12	21
249	11	21
300	14	21
131	13	21
303	7	19
243	7	20
259	8	20
260	10	27
304	11	26
334	11	25
309	12	25
272	6	24
135	14	22
130	13	23
320	13	24
92	7	22
15	5	25
254	7	21
95	7	23
97	7	24
13	7	26
12	8	26
14	9	26
295	10	26
10	6	26
245	7	18
285	15	20
293	9	27
341	8	19
339	5	10
322	3	11
273	4	12
308	3	12
356	6	10
277	4	11
267	1	10
315	3	10
354	4	9
276	4	10
278	5	9
355	2	12
711	0	11
327	1	11
279	2	11
247	8	28
324	7	28
344	6	28
248	9	28
241	7	27
257	8	27
11	6	27
332	5	27
362	5	26
313	5	29
297	5	28
365	4	27
739	8	29
361	7	29
310	6	29
360	6	30
256	9	13
197	9	12
232	8	13
180	9	14
184	10	14
264	8	14
108	11	14
195	7	13
194	8	12
253	7	14
109	11	15
104	10	15
156	8	15
160	7	15
155	6	15
106	13	16
161	9	15
287	12	16
105	11	16
240	6	13
137	13	17
284	10	16
159	8	16
158	7	16
157	6	16
115	15	18
117	14	18
142	11	17
138	12	17
17	9	16
18	10	17
237	6	14
196	7	12
140	13	18
154	7	17
290	6	17
282	5	17
20	9	17
23	11	18
139	12	18
111	14	19
141	13	19
22	8	17
143	12	19
336	5	15
193	5	13
19	10	18
16	9	18
182	10	12
110	12	14
323	14	16
116	16	18
56	8	11
57	7	11
183	9	11
181	11	13
107	13	15
114	15	17
112	14	17
238	10	13
286	12	15
326	4	15
709	3	17
292	4	18
318	4	13
281	6	18
312	15	19
266	5	18
325	5	14
348	5	16
328	4	17
294	5	12
192	6	12
255	9	19
251	12	20
314	14	20
239	13	20
231	10	19
21	11	19
258	8	18
53	5	11
26	5	2
28	5	3
364	2	1
719	2	0
32	7	3
25	6	3
29	6	2
149	5	4
717	3	2
340	5	1
30	9	2
24	4	3
352	4	1
35	8	3
151	6	4
153	7	4
27	4	2
152	8	4
88	20	6
38	18	5
80	19	6
191	16	5
188	17	5
83	19	7
82	18	6
200	18	7
170	17	6
212	19	8
199	17	7
90	19	9
176	15	5
210	18	8
175	16	6
189	14	5
211	18	9
216	16	7
229	19	10
169	13	5
42	21	12
179	15	6
208	17	8
218	15	7
209	17	9
203	19	11
62	12	5
224	18	10
338	20	12
219	16	8
177	14	6
221	16	9
228	18	11
198	14	7
48	21	13
363	11	5
67	11	4
51	20	13
215	19	12
217	15	8
69	12	6
174	13	6
225	17	10
226	17	11
220	15	9
171	13	7
61	10	5
178	14	8
274	10	4
222	16	10
214	18	12
168	22	14
41	19	13
63	11	6
47	21	14
201	14	9
223	16	11
43	18	13
172	12	7
65	11	7
202	15	10
173	13	8
227	17	12
46	20	14
163	21	15
50	19	14
72	17	13
329	13	9
206	15	11
289	10	6
60	9	5
59	10	7
49	20	15
74	18	14
207	16	12
204	14	10
275	12	8
213	16	13
6	18	15
346	12	9
205	14	11
45	19	15
119	22	16
165	21	16
319	11	8
64	9	7
33	9	6
166	20	16
79	17	14
2	13	10
342	10	8
71	15	12
75	15	13
77	17	15
70	13	11
347	11	9
1	12	10
78	14	12
76	16	14
7	19	16
144	10	9
270	16	15
3	12	11
345	9	8
269	8	7
150	8	6
306	14	13
9	18	16
122	21	17
121	20	17
335	9	9
5	19	17
73	13	12
145	11	10
280	15	14
8	17	16
126	15	15
148	11	11
311	13	13
31	10	3
317	9	4
737	7	6
34	8	5
91	20	8
89	20	7
86	21	7
288	17	17
87	22	7
351	21	18
350	22	18
120	20	18
330	21	11
52	20	11
307	20	10
81	22	6
85	21	6
40	20	5
37	19	5
39	19	4
36	18	4
187	13	4
68	12	4
66	11	3
337	17	4
186	16	4
190	15	4
185	14	4
58	9	10
55	8	9
118	22	17
162	23	16
167	22	15
164	23	14
44	22	13
84	22	12
331	8	8
283	7	7
113	18	17
4	12	12
147	10	11
54	10	10
128	14	14
123	12	13
124	16	16
127	14	15
146	11	12
125	13	14
129	15	16
302	7	32
299	6	31
298	6	33
321	6	32
291	7	33
301	7	31
343	5	33
305	5	32
557	6	36
633	5	35
296	8	33
742	8	32
357	7	36
316	6	35
268	7	34
358	8	34
359	9	34
702	5	31
333	6	34
